    T[sec]  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
2.07813 -332.1 -429.4 -224.5 -363.2 -90.02 -228.7 -211.1 -160.4 168.7 515.3 330.1 -244.2 1014 507
2.08594 -21.73 -197.6 -70.36 36.21 -251.4 -379.7 -136.6 -106.6 98.3 187.3 185.2 -279.4 610.5 114.9
2.09375 -171.8 -298 56.91 155.2 -232.8 -323.9 -132.4 -162.4 -34.14 -77.6 241.1 -111.7 149 -141.8
2.10156 -20.69 16.55 -113.8 122.1 -10.35 -126.2 156.2 -84.84 -155.2 7.243 236.9 55.87 100.4 -92.09
2.10938 99.33 104.5 70.36 -181.1 32.08 161.4 149 152.1 -169.7 78.64 351.8 74.5 233.8 34.14
2.11719 222.5 -65.19 308.3 -50.7 -31.04 302.1 109.7 103.5 108.6 303.2 265.9 -38.28 70.36 354.9
2.125 -103.5 -113.8 32.08 6.208 203.8 128.3 -103.5 -180 130.4 183.1 338.3 -23.8 123.1 275.2
2.13281 -153.1 -231.8 -105.5 -186.2 -36.21 -261.8 -187.3 -232.8 119 119 -30.01 54.84 83.81 136.6
2.14063 15.52 -69.32 -217.3 -106.6 -320.8 -67.25 -124.2 -102.4 66.22 -126.2 -87.95 -21.73 124.2 -75.53
2.14844 -50.7 100.4 65.19 -299 -21.73 4.139 18.62 -263.8 103.5 0 -30.01 -139.7 154.2 -23.8
2.15625 -112.8 149 185.2 25.87 21.73 87.95 181.1 -112.8 -65.19 44.49 300.1 -91.05 624.9 -136.6
2.16406 -96.23 198.7 210 81.74 18.62 186.2 184.2 62.08 194.5 226.6 398.4 -99.33 700.5 282.5
2.17188 -86.91 74.5 136.6 19.66 98.3 110.7 152.1 -153.1 116.9 229.7 931.2 28.97 857.8 527.7
2.17969 55.87 216.2 92.09 100.4 -68.29 204.9 -1.035 -81.74 44.49 410.8 768.8 157.3 546.3 338.3
2.1875 -57.94 -45.53 0 95.19 0 55.87 -160.4 -20.69 22.76 126.2 192.5 -27.94 286.6 96.23
2.19531 -53.8 -159.3 -19.66 103.5 -283.5 76.57 -166.6 -107.6 -257.6 39.32 230.7 183.1 66.22 -201.8
2.20313 -10.35 -1.035 -86.91 153.1 -249.4 -105.5 -118 -124.2 -160.4 -181.1 64.15 -107.6 -357 -235.9
2.21094 -80.71 -183.1 -96.23 94.16 -90.02 -93.12 -157.3 -342.5 -418 -427.3 185.2 -335.2 -555.6 -540.1
2.21875 20.69 -311.4 -123.1 -48.63 -107.6 -123.1 -5.173 34.14 -107.6 -523.6 112.8 -113.8 -258.7 -371.5
2.22656 86.91 -219.4 -115.9 42.42 22.76 -129.3 123.1 262.8 197.6 -176.9 537 376.6 62.08 101.4
2.23438 -190.4 -307.3 -276.3 56.91 -15.52 -245.2 -168.7 -1.035 509.1 -16.55 553.6 259.7 106.6 168.7
2.24219 -354.9 -199.7 -145.9 -30.01 35.18 -332.1 -65.19 -220.4 370.4 8.277 167.6 -22.76 280.4 1.035
2.25 -397.3 -407.7 -158.3 -170.7 -268 -170.7 -313.5 -125.2 266.9 -238 -5.173 -123.1 332.1 -252.5
2.25781 -209 -179 -88.98 -150 -400.4 -332.1 -289.7 28.97 -110.7 -429.4 -210 53.8 279.4 -298
2.26563 -133.5 -253.5 -48.63 -45.53 -181.1 -230.7 -121.1 1.035 0 -259.7 13.45 191.4 219.4 -336.3
2.27344 -183.1 -81.74 -93.12 48.63 16.55 -129.3 -111.7 -163.5 -61.05 -128.3 3.104 -139.7 109.7 -152.1
2.28125 190.4 48.63 -19.66 -74.5 159.3 140.7 208 16.55 -9.312 -9.312 299 -167.6 170.7 -67.25
2.28906 315.6 200.7 97.26 -38.28 309.4 230.7 405.6 -53.8 -155.2 165.5 408.7 70.36 185.2 92.09
2.29688 145.9 186.2 171.8 167.6 174.9 352.8 347.7 178 -12.42 350.8 698.4 110.7 255.6 168.7
2.30469 39.32 328 92.09 164.5 115.9 129.3 250.4 213.1 -298 362.1 564.9 303.2 352.8 12.42
2.3125 52.77 -3.104 -236.9 -91.05 -51.73 -14.49 -99.33 -87.95 -140.7 269 364.2 -111.7 17.59 -550.5
2.32031 -95.19 -153.1 -215.2 -240 -19.66 -334.2 -273.2 -154.2 -206.9 66.22 -45.53 32.08 -22.76 -851.5
2.32813 -338.3 -333.2 -185.2 -357 -383.9 -584.6 -231.8 -181.1 -338.3 -317.6 -373.5 -124.2 -190.4 -917.8
2.33594 -361.1 -238 -269 -380.8 -291.8 -536 -362.1 -240 -127.3 -661.2 -693.2 -190.4 -271.1 -755.3
2.34375 -250.4 -285.6 -127.3 -225.6 -332.1 -293.9 -254.5 -170.7 -129.3 -551.5 -545.3 -288.7 -220.4 -676.7
2.35156 -239 -13.45 -194.5 -114.9 -30.01 -95.19 -183.1 23.8 3.104 -172.8 -169.7 4.139 -139.7 -113.8
2.35938 16.55 224.5 -158.3 -52.77 357 54.84 240 171.8 262.8 369.4 10.35 277.3 239 298
2.36719 96.23 204.9 228.7 160.4 486.3 290.7 350.8 125.2 529.8 1095 534.9 242.1 549.4 478
2.375 189.3 394.2 230.7 183.1 124.2 419 322.8 80.71 397.3 979.8 815.3 -22.76 883.6 361.1
2.38281 178 306.3 156.2 -49.66 32.08 222.5 325.9 -214.2 36.21 1134 702.6 -60.01 756.4 185.2
2.39063 45.53 -5.173 -27.94 -50.7 36.21 -107.6 -64.15 -92.09 -328 577.4 671.5 -413.9 323.9 -240
2.39844 4.139 -155.2 -115.9 -288.7 -17.59 -146.9 -8.277 -97.26 -203.8 342.5 413.9 -268 127.3 -455.3
2.40625 -90.02 -189.3 64.15 30.01 -162.4 -249.4 20.69 163.5 -8.277 187.3 182.1 -11.38 -194.5 -354.9
2.41406 -72.43 -159.3 39.32 -68.29 -310.4 -266.9 94.16 253.5 4.139 -25.87 186.2 170.7 -399.4 -471.8
2.42188 -151.1 36.21 60.01 11.38 -121.1 -61.05 -26.9 126.2 -154.2 -74.5 14.49 183.1 -307.3 -254.5
2.42969 -17.59 -251.4 21.73 -152.1 102.4 -12.42 37.25 -150 65.19 -66.22 288.7 243.2 -106.6 -110.7
2.4375 12.42 -15.52 15.52 -100.4 -37.25 -192.5 68.29 -48.63 88.98 108.6 413.9 169.7 148 -179
2.44531 -90.02 -93.12 -181.1 -241.1 169.7 -33.11 -98.3 -61.05 -74.5 432.5 224.5 11.38 540.1 124.2
2.45313 1.035 116.9 -94.16 -400.4 280.4 229.7 11.38 -254.5 52.77 704.6 426.3 -61.05 587.7 323.9
2.46094 116.9 214.2 52.77 -135.5 392.1 278.3 50.7 -150 208 947.8 530.8 -11.38 576.3 297
2.46875 82.77 -123.1 -167.6 -328 -57.94 141.8 44.49 -223.5 -61.05 786.4 799.8 -43.46 640.5 -97.26
2.47656 -171.8 -298 -311.4 -385.9 -167.6 -418 -273.2 -106.6 -133.5 201.8 655 -53.8 507 -213.1
2.48438 -399.4 -463.5 -294.9 -247.3 -249.4 -489.4 -187.3 -18.62 -174.9 32.08 504.9 -180 422.2 54.84
2.49219 -314.5 -399.4 -443.9 -103.5 -294.9 -465.6 -426.3 13.45 -122.1 -404.6 83.81 -135.5 88.98 -68.29
2.5 -58.98 -449.1 -387 -32.08 -239 -593.9 -312.5 58.98 -346.6 -949.8 -309.4 -7.243 -401.5 -491.5
2.50781 -209 -411.8 -483.2 -21.73 -209 -517.3 -373.5 -122.1 -302.1 -1210 -748.1 -239 -343.5 -1022
2.51563 -155.2 -328 -142.8 -249.4 -90.02 -381.8 -421.1 -312.5 -181.1 -981.9 -1001 -222.5 -504.9 -1192
2.52344 -145.9 -203.8 -251.4 211.1 -72.43 -35.18 -55.87 -152.1 -12.42 -651.9 -872.2 50.7 -627 -848.4
2.53125 135.5 -61.05 -131.4 -114.9 -11.38 169.7 -60.01 12.42 -277.3 -519.4 -376.6 153.1 -302.1 -737.7
2.53906 93.12 -95.19 106.6 -52.77 -50.7 124.2 182.1 -78.64 57.94 -121.1 80.71 -68.29 -10.35 -95.19
2.54688 126.2 164.5 217.3 0 23.8 145.9 201.8 91.05 236.9 -70.36 442.8 150 288.7 336.3
2.55469 -67.25 6.208 167.6 -49.66 72.43 4.139 96.23 -121.1 124.2 -280.4 430.4 150 511.1 0
2.5625 112.8 86.91 123.1 -93.12 -126.2 113.8 40.35 -96.23 5.173 -230.7 69.32 -188.3 234.9 -153.1
2.57031 66.22 122.1 32.08 47.6 188.3 288.7 -68.29 -225.6 173.8 -251.4 112.8 -133.5 64.15 -406.6
2.57813 212.1 12.42 51.73 -2.069 255.6 125.2 38.28 -228.7 -123.1 -460.4 -252.5 -205.9 -218.3 -680.8
2.58594 193.5 130.4 46.56 194.5 37.25 -114.9 40.35 -143.8 -7.243 -429.4 -109.7 79.67 -251.4 -530.8
2.59375 -137.6 -103.5 53.8 -24.83 95.19 -293.9 -73.46 -119 -22.76 -345.6 -204.9 58.98 -50.7 -395.2
2.60156 -131.4 -233.8 -75.53 -126.2 124.2 -274.2 -173.8 -143.8 278.3 -57.94 -330.1 -30.01 194.5 -406.6
2.60938 -176.9 -265.9 -260.7 -527.7 -111.7 -298 -294.9 -370.4 -135.5 -432.5 -920.9 -408.7 205.9 -683.9
