    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
0.645 -7.049 -18.08 -9.038 -15 12.92 -6.055 6.959 -12.02 2.982 -13.01 -2.079 -38.05 3.977 -24.04 0 -16.09
0.65 -9.038 -14.01 -14.01 -23.05 7.953 -14.01 0.9941 -22.05 1.988 -21.06 -12.02 -36.06 -5.061 -25.03 9.941 -14.01
0.655 -11.03 -13.01 -9.038 -29.01 9.941 -17.08 0.9941 -25.03 -9.038 -29.01 -17.08 -23.05 -11.03 -19.07 16 -13.01
0.66 -9.038 -5.061 -3.073 -28.02 12.92 -12.02 0.9941 -16.09 -14.01 -28.02 -16.09 -1.085 -11.03 -7.049 16 -5.061
0.665 -3.073 -1.085 1.988 -22.05 18.98 -3.073 1.988 -6.055 -17.08 -24.04 -12.02 5.965 -3.073 -1.085 11.93 0.9941
0.67 0.9941 -3.073 0.9941 -19.07 16 -2.079 7.953 -1.085 -19.07 -25.03 -5.061 3.977 0 0 7.953 -2.079
0.675 0.9941 -6.055 -10.03 -20.06 7.953 0.9941 7.953 -5.061 -23.05 -26.03 -5.061 0 0 1.988 3.977 -1.085
0.68 -13.01 -14.01 -28.02 -32.08 -5.061 -13.01 0 -19.07 -29.01 -32.08 -9.038 -16.09 -5.061 -8.043 0.9941 -2.079
0.685 -31.09 -25.03 -45.01 -45.01 -23.05 -31.09 -11.03 -33.08 -33.08 -35.07 -17.08 -25.03 -19.07 -19.07 -13.01 -3.073
0.69 -43.02 -30 -54.04 -47.09 -36.06 -43.02 -23.05 -39.04 -33.08 -27.02 -21.06 -18.08 -29.01 -18.08 -25.03 -2.079
0.695 -45.01 -32.08 -50.07 -39.04 -34.07 -37.05 -27.02 -33.08 -29.01 -13.01 -23.05 -2.079 -33.08 -8.043 -31.09 0
0.7 -35.07 -27.02 -41.03 -21.06 -27.02 -21.06 -21.06 -17.08 -25.03 0.9941 -23.05 7.953 -29.01 0 -27.02 0
0.705 -25.03 -23.05 -31.09 -5.061 -14.01 -1.085 -13.01 -3.073 -25.03 0 -21.06 16 -21.06 9.941 -21.06 3.977
0.71 -19.07 -17.08 -23.05 -2.079 -13.01 3.977 -7.049 0.9941 -29.01 -2.079 -19.07 16 -15 11.93 -15 5.965
0.715 -17.08 -13.01 -19.07 -2.079 -17.08 1.988 -9.038 -1.085 -29.01 -5.061 -15 11.93 -13.01 7.953 -17.08 7.953
0.72 -13.01 -5.061 -17.08 -1.085 -21.06 -1.085 -11.03 -5.061 -27.02 -7.049 -7.049 9.941 -13.01 1.988 -25.03 7.953
0.725 -3.073 1.988 -13.01 0.9941 -17.08 -7.049 -11.03 -3.073 -19.07 -3.073 0.9941 11.93 -11.03 0 -29.01 9.941
0.73 6.959 16 -5.061 5.965 -3.073 -3.073 -3.073 0 -7.049 -2.079 3.977 19.97 -9.038 0 -25.03 7.953
0.735 22.96 25.94 1.988 19.97 9.941 0 1.988 7.953 -1.085 1.988 3.977 21.96 -7.049 1.988 -13.01 3.977
0.74 28.92 29.91 13.92 27.93 21.96 7.953 9.941 9.941 -2.079 0 0 19.97 -9.038 1.988 -1.085 -2.079
0.745 26.93 25.94 19.97 25.94 19.97 7.953 13.92 5.965 0.9941 0.9941 0.9941 9.941 -9.038 0.9941 0.9941 -5.061
0.75 22.96 17.98 16 11.93 9.941 0.9941 9.941 0 -3.073 -1.085 -3.073 -2.079 -9.038 -7.049 -9.038 -9.038
0.755 18.98 9.941 5.965 0.9941 0.9941 -15 3.977 -1.085 -9.038 -1.085 -5.061 -7.049 -3.073 -15 -23.05 -11.03
0.76 16.99 5.965 -3.073 -13.01 -11.03 -25.03 -2.079 -1.085 -17.08 0.9941 -5.061 -7.049 0.9941 -17.08 -33.08 -11.03
0.765 16.99 5.965 -15 -17.08 -19.07 -27.02 -3.073 0.9941 -29.01 -1.085 -9.038 -1.085 -3.073 -15 -37.05 -11.03
0.77 12.92 5.965 -25.03 -15 -22.05 -23.05 -15 -1.085 -37.05 -5.061 -17.08 3.977 -15 -11.03 -35.07 -13.01
0.775 2.982 3.977 -29.01 -11.03 -30 -17.08 -31.09 -9.038 -39.04 -11.03 -25.03 11.93 -35.07 -13.01 -37.05 -15
0.78 -5.061 0 -35.07 -11.03 -41.03 -17.08 -45.01 -21.06 -39.04 -15 -33.08 11.93 -55.04 -19.07 -41.03 -19.07
0.785 -15 -1.085 -38.05 -17.08 -50.07 -27.02 -53.05 -31.09 -33.08 -15 -35.07 5.965 -65.07 -29.01 -45.01 -23.05
0.79 -17.08 -9.038 -44.01 -25.03 -52.06 -41.03 -53.05 -33.08 -29.01 -11.03 -33.08 -2.079 -61 -31.09 -45.01 -21.06
0.795 -15 -13.01 -51.06 -33.08 -47.09 -49.07 -41.03 -27.02 -25.03 -5.061 -29.01 -3.073 -47.09 -27.02 -37.05 -17.08
0.8 -7.049 -15 -46 -31.09 -35.07 -51.06 -23.05 -14.01 -21.06 -3.073 -21.06 -1.085 -25.03 -17.08 -22.05 -7.049
0.805 -3.073 -13.01 -36.06 -20.06 -21.06 -39.04 -1.085 0 -10.03 -3.073 -11.03 0.9941 -3.073 -3.073 -8.043 -2.079
0.81 -1.085 -5.061 -19.07 -3.073 -9.038 -17.08 16 9.941 -2.079 -2.079 -1.085 13.92 11.93 5.965 0 7.953
0.815 2.982 -2.079 -3.073 12.92 -4.067 5.965 34.98 28.92 16.99 7.953 6.959 26.93 24.94 17.98 14.91 16
0.82 6.959 5.965 0 31 -3.073 29.91 47 44.92 28.92 19.97 8.947 34.98 32.99 28.92 22.96 23.95
0.825 12.92 9.941 0 37.96 -5.061 45.91 47.99 55.94 29.91 31.99 5.965 37.96 29.91 31.99 23.95 29.91
0.83 14.91 10.94 -1.085 40.94 -7.049 51.97 44.92 63.99 22.96 40.94 0 38.95 20.97 34.98 19.97 31.99
0.835 18.98 10.94 0.9941 39.95 -7.049 49.98 34.98 63.99 13.92 40.94 -10.03 33.98 11.93 34.98 0 29.91
0.84 24.94 9.941 0 33.98 -3.073 43.92 21.96 59.92 3.977 33.98 -17.08 23.95 0 31.99 -11.03 27.93
