    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  Pz 
1.115 1563 869.6 273.6 840.3 1133 1231 869.6 732.8 566.7 -263.8 1270 850 1221 1212 556.9 39.08 1720 693.7 859.8 859.8
1.12 1231 762.1 -410.4 781.6 1016 1251 771.9 869.6 478.7 -107.5 928.2 1026 732.8 1251 146.6 136.8 1651 752.3 1065 1065
1.125 1114 527.6 -771.9 683.9 1036 1212 801.2 1085 527.6 361.5 723 1085 625.3 1260 205.2 322.4 1563 693.7 1329 1329
1.13 928.2 254 -987.3 420.1 908.6 1006 723 1114 420.1 537.4 771.9 1036 517.8 977 78.16 381 1319 586.2 1426 1426
1.135 342 -293.1 -1573 -146.6 478.7 449.4 449.4 820.7 107.5 517.8 224.7 508.1 -48.85 293.1 -117.2 361.5 693.7 214.9 1270 1270
1.14 -39.08 -596 -2012 -644.8 68.39 19.54 146.6 508.1 -195.4 283.3 -19.54 166.1 -136.8 -78.16 -234.5 156.3 214.9 -156.3 967.3 967.3
1.145 -459.2 -1025 -2325 -1085 -302.9 -400.6 -136.8 156.3 -498.3 29.31 -166.1 -400.6 -527.6 -517.8 -498.3 58.62 -342 -517.8 703.5 703.5
1.15 -635.6 -1319 -2394 -1290 -508.1 -615.5 -293.1 -166.1 -596 -293.1 -175.9 -498.3 -576.5 -674.6 -635.6 -175.9 -478.7 -771.9 527.6 527.6
1.155 -820.7 -1358 -2531 -1329 -762.1 -635.6 -410.4 -293.1 -547.6 -371.3 -390.8 -693.7 -508.1 -830.5 -576.5 -293.1 -840.3 -918.4 205.2 205.2
1.16 -957.5 -1641 -2658 -1339 -879.8 -635.6 -420.1 -371.3 -244.3 -351.7 -390.8 -351.7 -586.2 -664.4 -302.9 -185.6 -996.6 -977.5 0 0
1.165 -830.5 -1514 -2579 -1426 -889.1 -850 -302.9 -723 127 -488.5 -547.6 -996.6 -78.16 -947.7 136.8 -449.4 -1055 -1319 -254 -254
1.17 -1006 -1563 -2735 -1416 -1064 -908.6 -371.3 -879.8 488.5 -283.3 -625.3 -723 -234.5 -938 283.3 -381 -1299 -1309 -488.5 -488.5
1.175 -1055 -1309 -2531 -1436 -1055 -1124 -371.3 -1290 556.9 -449.4 -322.4 -742.6 48.85 -693.7 342 -635.6 -1240 -1387 -791.4 -791.4
1.18 -1064 -1475 -2648 -1661 -1309 -1563 -781.6 -1885 283.3 -869.6 -791.4 -1114 -693.7 -1016 -400.6 -938 -1495 -1544 -1358 -1358
1.185 -898.9 -1163 -2355 -1602 -1416 -1690 -1045 -2208 68.39 -1045 -596 -1045 -664.4 -840.3 -195.4 -987.3 -1426 -1671 -1798 -1798
1.19 -752.3 -1133 -2159 -1524 -1387 -1690 -1221 -2394 -166.1 -1416 -664.4 -1143 -918.4 -898.9 -410.4 -1045 -1329 -1710 -2169 -2169
1.195 -410.4 -889.1 -1944 -1358 -1182 -1514 -1240 -2384 -381 -1700 -693.7 -1231 -820.7 -1016 -48.85 -987.3 -1114 -1505 -2257 -2257
1.2 -48.85 -342 -1456 -859.8 -762.1 -918.4 -918.4 -1778 -136.8 -1387 -244.3 -850 -547.6 -635.6 48.85 -644.8 -703.5 -947.7 -1856 -1856
1.205 312.7 68.39 -1143 -566.7 -351.7 -459.2 -605.8 -1367 -58.62 -1534 -58.62 -703.5 -332.2 -879.8 234.5 -664.4 -302.9 -644.8 -1397 -1397
1.21 654.6 517.8 -732.8 -195.4 166.1 107.5 -48.85 -586.2 273.6 -1036 439.7 -342 78.16 -351.7 439.7 -420.1 273.6 -205.2 -625.3 -625.3
1.215 1085 938 -273.6 302.9 683.9 713.2 537.4 293.1 732.8 -410.4 713.2 39.08 400.6 -58.62 820.7 -78.16 820.7 410.4 244.3 244.3
1.22 1172 928.2 87.93 400.6 1045 898.9 830.5 654.6 859.8 -342 1202 -146.6 723 -68.39 986.8 -293.1 1143 703.5 781.6 781.6
1.225 1641 1016 556.9 644.8 1407 1133 1231 1006 1192 -9.77 947.7 -29.31 752.3 332.2 1133 -146.6 1563 801.2 1426 1426
1.23 1905 1075 1153 830.5 1993 1329 1641 1280 1417 283.3 1798 68.39 752.3 263.8 1153 -136.8 1964 947.7 2003 2003
1.235 1905 928.2 1075 664.4 1778 1290 1466 1290 1339 429.9 889.1 19.54 586.2 293.1 996.6 -107.5 1895 791.4 2228 2228
1.24 2140 1124 1153 625.3 1729 1319 1348 1378 1133 762.1 1192 175.9 488.5 332.2 635.1 -127 1944 840.3 2335 2335
1.245 2051 1036 977 478.7 1397 1231 986.8 1387 742.6 879.3 703.5 342 371.3 302.9 371.3 -39.08 1710 693.7 2247 2247
1.25 1876 1045 732.8 400.6 1085 1212 723 1426 283.3 801.2 879.3 136.8 537.4 381 205.2 39.08 1485 713.2 2140 2140
1.255 1671 928.2 381 136.8 654.6 918.4 381 1114 -205.2 459.2 791.4 97.7 68.39 68.39 -127 -58.62 1104 410.4 1729 1729
1.26 732.8 820.7 -234.5 224.7 39.08 1016 -78.16 1026 -655.1 263.8 117.2 312.7 -449.4 273.6 -439.7 263.8 478.7 420.1 1085 1085
1.265 556.9 644.8 -429.9 -58.62 -185.6 742.6 -175.9 596 -674.6 -58.62 87.93 117.2 -987.3 -78.16 -390.8 136.8 322.4 48.85 615.5 615.5
1.27 -39.08 713.2 -762.1 -29.31 -596 732.8 -527.6 302.9 -713.2 39.08 -361.5 312.7 -898.9 -9.77 -527.6 117.2 48.85 -68.39 -39.08 -39.08
1.275 -19.54 732.8 -742.6 58.62 -576.5 859.8 -566.7 244.3 -439.7 263.8 -439.7 566.7 -1280 9.77 -312.7 166.1 19.54 -87.93 -351.7 -351.7
1.28 -166.1 556.9 -947.7 -390.8 -810.9 263.8 -713.2 -254 -293.1 205.2 -166.1 -117.2 -889.1 -293.1 -136.8 -166.1 -293.1 -371.3 -840.3 -840.3
1.285 -478.7 322.4 -1133 -449.4 -938 166.1 -723 -400.6 29.31 312.7 -625.3 9.77 -869.6 -273.6 9.77 -205.2 -576.5 -596 -1114 -1114
1.29 -683.9 -68.39 -1192 -889.1 -1006 -449.4 -713.2 -967.8 205.2 -48.85 -429.9 -830.5 -908.6 -859.8 166.1 -527.6 -752.3 -1064 -1367 -1367
1.295 -898.9 -459.2 -1416 -1143 -1280 -742.6 -859.8 -1270 166.1 -293.1 -889.1 -869.6 -859.8 -840.3 -9.77 -664.4 -938 -1260 -1651 -1651
1.3 -1064 -459.2 -1505 -996.6 -1201 -625.3 -820.7 -1211 48.85 -234.5 -713.2 -469 -1124 -527.6 -39.08 -576.5 -820.7 -1085 -1632 -1632
1.305 -1036 -771.9 -1514 -1270 -1260 -830.5 -840.3 -1426 -234.5 -625.3 -908.6 -869.6 -987.3 -908.6 -254 -723 -889.1 -1309 -1768 -1768
1.31 -977.5 -742.6 -1485 -1211 -1133 -674.6 -830.5 -1299 -439.7 -742.6 -351.7 -87.93 -586.2 -664.4 -97.7 -644.8 -635.6 -1192 -1563 -1563
1.315 -840.3 -771.9 -1240 -1172 -889.1 -703.5 -703.5 -1358 -508.1 -1124 -146.6 -1406 -254 -1064 -166.1 -898.9 -566.7 -1231 -1387 -1387
1.32 -1094 -801.2 -1681 -1192 -1358 -693.7 -1221 -1358 -1064 -1475 -1025 -889.1 -644.8 -928.2 -478.7 -1094 -850 -1231 -1671 -1671
1.325 -830.5 -683.9 -1397 -830.5 -1133 -420.1 -1172 -1064 -1055 -1309 -596 -1250 -996.6 -713.2 -429.9 -898.9 -655.1 -967.8 -1426 -1426
1.33 -742.6 -488.5 -1358 -693.7 -1075 -400.6 -1299 -1025 -1280 -1436 -732.8 -918.4 -889.1 -429.9 -420.1 -987.3 -459.2 -791.4 -1260 -1260
1.335 -390.8 -107.5 -820.7 -117.2 -683.9 58.62 -957.5 -498.3 -1221 -1006 -547.6 -234.5 -1270 -175.9 -498.3 -508.1 -39.08 -214.9 -781.6 -781.6
1.34 97.7 332.2 -78.16 400.6 19.54 556.9 -459.2 29.31 -1104 -508.1 39.08 117.2 -664.4 -166.1 -332.2 -254 703.5 459.2 -97.7 -97.7
1.345 527.6 605.8 547.1 830.5 439.7 1006 -117.2 469 -1143 -146.6 312.7 459.2 -703.5 127 -390.8 107.5 1124 850 390.8 390.8
1.35 771.9 869.6 1124 1143 908.6 1339 205.2 1036 -1153 498.3 801.2 683.9 -224.7 293.1 -254 420.1 1602 1241 957.5 957.5
1.355 977 850 1436 1397 1094 1612 273.6 1348 -1114 781.6 683.9 1036 -156.3 664.4 -263.8 517.8 1915 1417 1299 1299
1.36 908.6 801.2 1397 1407 918.4 1661 87.93 1524 -1270 1026 801.2 1251 -156.3 674.2 -742.6 703.5 1925 1436 1387 1387
1.365 869.6 742.6 1466 1426 820.7 1514 78.16 1534 -1055 1055 596 1221 195.4 674.2 -625.3 742.6 1983 1260 1417 1417
1.37 810.9 693.7 1397 1309 605.8 1397 -9.77 1368 -938 801.2 810.9 1221 195.4 488.5 -655.1 625.3 1954 996.6 1280 1280
1.375 771.9 576.5 1251 1133 302.9 1006 -107.5 1026 -820.7 732.8 381 263.8 185.6 48.85 -381 429.9 1632 723 918.4 918.4
1.38 830.5 644.8 1583 1026 556.9 869.6 205.2 693.7 -449.4 527.6 859.8 801.2 254 400.6 322.4 429.9 1720 752.3 918.4 918.4
1.385 810.9 556.9 1466 918.4 488.5 527.6 273.6 205.2 -342 332.2 664.4 429.9 449.4 293.1 517.8 175.9 1387 615.5 478.7 478.7
1.39 576.5 400.6 1397 703.5 566.7 195.4 420.1 -293.1 -107.5 87.93 830.5 537.4 429.9 254 586.2 -97.7 1114 508.1 205.2 205.2
1.395 39.08 214.9 850 371.3 273.6 -175.9 293.1 -742.6 -87.93 -224.7 195.4 244.3 -361.5 -166.1 654.6 -205.2 420.1 244.3 -263.8 -263.8
1.4 -517.8 -195.4 342 97.7 29.31 -556.9 107.5 -996.6 -127 -400.6 39.08 39.08 -136.8 -371.3 273.6 -410.4 -244.3 127 -762.1 -762.1
