    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz 
1.15 -469 517.8 -869.6 117.2 -801.2 -361.5 -869.6 -410.4 -1075 -449.4 -752.3 9.77 -713.2 146.6 -576.5 -48.85 -586.2 -302.9 -947.7
1.155 -351.7 654.6 -771.9 263.8 -615.5 -273.6 -801.2 -312.7 -1075 -517.8 -791.4 78.16 -488.5 117.2 -781.6 -48.85 -508.1 -234.5 -879.8
1.16 -214.9 635.1 -683.9 195.4 -576.5 -381 -771.9 -439.7 -879.8 -918.4 -254 19.54 -87.93 -58.62 58.62 -244.3 -224.7 -283.3 -742.6
1.165 -273.6 996.6 -781.6 429.9 -596 -97.7 -869.6 -214.9 -771.9 -693.7 -273.6 420.1 39.08 254 -234.5 -9.77 -234.5 -136.8 -732.8
1.17 -234.5 1133 -967.8 498.3 -869.6 -19.54 -1094 -254 -938 -801.2 -351.7 185.6 -166.1 195.4 -644.8 -224.7 -361.5 -205.2 -938
1.175 -517.8 1309 -1319 713.2 -1085 127 -1339 9.77 -1094 -351.7 -713.2 683.9 -1006 635.1 -1006 48.85 -615.5 29.31 -1231
1.18 -644.8 1417 -1367 840.3 -1260 263.8 -1534 58.62 -1240 -156.3 -1025 469 -1582 439.7 -977.5 -19.54 -791.4 146.6 -1446
1.185 -742.6 1055 -1436 605.8 -1309 68.39 -1602 -58.62 -1260 -39.08 -1045 224.7 -1114 478.7 -1094 -19.54 -1064 -97.7 -1563
1.19 -918.4 967.3 -1514 556.9 -1456 29.31 -1700 -58.62 -1348 -302.9 -1211 263.8 -1133 214.9 -771.9 -39.08 -1094 -175.9 -1661
1.195 -693.7 400.6 -1182 175.9 -1192 -273.6 -1406 -214.9 -1172 -390.8 -674.6 -107.5 -361.5 48.85 -987.3 -205.2 -957.5 -469 -1367
1.2 -234.5 302.9 -898.9 127 -908.6 -312.7 -1172 -244.3 -1114 -566.7 -283.3 19.54 -390.8 0 -683.9 -244.3 -732.8 -390.8 -1094
1.205 -517.8 -58.62 -1055 -224.7 -987.3 -586.2 -1172 -429.9 -1133 -703.5 -938 -205.2 -762.1 -87.93 -908.6 -312.7 -967.8 -703.5 -1075
1.21 -19.54 48.85 -879.8 -205.2 -683.9 -498.3 -928.2 -429.9 -1016 -781.6 -488.5 -29.31 -713.2 166.1 -596 -293.1 -762.1 -635.6 -859.8
1.215 -283.3 156.3 -938 -97.7 -625.3 -381 -830.5 -371.3 -742.6 -703.5 -683.9 -175.9 -938 -19.54 -302.9 -302.9 -781.6 -586.2 -771.9
1.22 -156.3 439.7 -840.3 -68.39 -556.9 -254 -693.7 -254 -517.8 -655.1 -1114 -136.8 -1456 175.9 -58.62 -146.6 -586.2 -381 -655.1
1.225 -205.2 732.8 -655.1 136.8 -449.4 -19.54 -517.8 -39.08 -312.7 -390.8 -420.1 -351.7 -742.6 -29.31 -87.93 -48.85 -517.8 -146.6 -625.3
1.23 -29.31 859.8 -283.3 195.4 -293.1 19.54 -400.6 -48.85 -214.9 -439.7 -488.5 -263.8 -586.2 19.54 -19.54 -166.1 -302.9 -136.8 -605.8
1.235 195.4 879.3 -39.08 332.2 -205.2 146.6 -244.3 19.54 -117.2 -273.6 -19.54 39.08 -19.54 19.54 68.39 0 -136.8 -68.39 -429.9
1.24 361.5 859.8 214.9 547.1 -39.08 400.6 -156.3 146.6 -107.5 -214.9 -58.62 195.4 -195.4 29.31 156.3 -9.77 -29.31 146.6 -332.2
1.245 469 566.7 293.1 234.5 58.62 9.77 -136.8 -156.3 -68.39 -459.2 107.5 146.6 136.8 -58.62 97.7 -166.1 19.54 -156.3 -214.9
1.25 938 361.5 361.5 127 371.3 48.85 97.7 -58.62 214.9 -478.7 185.6 -19.54 -127 -127 224.7 -48.85 263.8 -136.8 156.3
1.255 693.7 -156.3 283.3 -224.7 596 -195.4 322.4 -127 566.7 -273.6 420.1 -400.6 234.5 -332.2 576.5 -78.16 224.7 -283.3 439.7
1.26 615.5 -420.1 185.6 -390.8 527.6 -302.9 302.9 -117.2 478.7 -293.1 566.7 -547.6 156.3 -469 166.1 -9.77 136.8 -214.9 469
1.265 342 -508.1 -48.85 -449.4 420.1 -361.5 205.2 -273.6 371.3 -508.1 48.85 -420.1 293.1 -361.5 -48.85 -156.3 -29.31 -371.3 312.7
1.27 244.3 -312.7 19.54 -342 342 -351.7 166.1 -381 351.7 -556.9 -254 -371.3 -9.77 -439.7 87.93 -498.3 97.7 -429.9 263.8
1.275 146.6 -312.7 -195.4 -429.9 156.3 -664.4 -97.7 -732.8 58.62 -987.3 -674.6 -342 -683.9 -283.3 -224.7 -898.9 -9.77 -566.7 -97.7
1.28 342 -302.9 -29.31 -517.8 263.8 -908.6 58.62 -928.2 263.8 -1064 -439.7 -488.5 -830.5 -283.3 351.7 -1124 195.4 -664.4 48.85
1.285 517.8 -498.3 136.8 -752.3 400.6 -1172 293.1 -1163 478.7 -1221 302.9 -840.3 -889.1 -781.6 1085 -1270 371.3 -898.9 224.7
