    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  A2 
1.17 185.6 293.1 -175.9 0 -19.54 400.6 78.16 361.5 449.4 410.4 -107.5 146.6 19.54 508.1 87.93 78.16 97.7 166.1 674.2 39.08
1.175 -78.16 9.77 -517.8 -195.4 -429.9 -19.54 -400.6 -117.2 -175.9 -273.6 -439.7 -322.4 -488.5 342 -410.4 -429.9 -185.6 -273.6 -19.54 19.54
1.18 224.7 400.6 -87.93 78.16 -87.93 224.7 -78.16 136.8 195.4 156.3 58.62 -48.85 19.54 293.1 29.31 0 263.8 -39.08 351.7 234.5
1.185 -185.6 9.77 -644.8 48.85 -615.5 19.54 -723 -19.54 -498.3 -254 -508.1 -234.5 -723 263.8 -693.7 -107.5 -48.85 -322.4 -244.3 68.39
1.19 48.85 97.7 -97.7 97.7 -19.54 224.7 -175.9 166.1 9.77 9.77 19.54 146.6 156.3 420.1 -97.7 224.7 351.7 127 273.6 166.1
1.195 -107.5 -205.2 -537.4 -39.08 -517.8 58.62 -635.6 -9.77 -429.9 -273.6 -556.9 -9.77 -381 156.3 -683.9 -29.31 29.31 -107.5 -146.6 87.93
1.2 127 195.4 -87.93 175.9 -9.77 381 -68.39 361.5 0 156.3 -68.39 156.3 156.3 478.7 -97.7 302.9 342 371.3 342 19.54
1.205 29.31 -39.08 -517.8 -29.31 -429.9 107.5 -390.8 48.85 -322.4 -263.8 -566.7 -29.31 -410.4 146.6 -420.1 58.62 58.62 9.77 -68.39 78.16
1.21 371.3 361.5 -48.85 244.3 39.08 410.4 146.6 420.1 205.2 205.2 -58.62 185.6 244.3 498.3 175.9 488.5 439.7 381 371.3 29.31
1.215 -19.54 48.85 -498.3 19.54 -410.4 78.16 -244.3 39.08 -254 -166.1 -635.6 -293.1 -146.6 -68.39 -244.3 87.93 146.6 0 -127 19.54
1.22 449.4 498.3 97.7 312.7 136.8 342 224.7 283.3 283.3 87.93 87.93 293.1 498.3 263.8 322.4 371.3 527.6 283.3 302.9 68.39
1.225 -29.31 449.4 -332.2 9.77 -283.3 48.85 -205.2 -68.39 -234.5 -312.7 -547.6 -48.85 166.1 -146.6 -136.8 9.77 -9.77 -127 -224.7 -9.77
1.23 205.2 293.1 107.5 107.5 78.16 185.6 224.7 48.85 273.6 -19.54 -9.77 283.3 615.5 19.54 254 195.4 214.9 127 205.2 -9.77
1.235 -293.1 -58.62 -400.6 -205.2 -459.2 -175.9 -410.4 -302.9 -342 -488.5 -615.5 -107.5 117.2 -273.6 -420.1 -97.7 -361.5 -244.3 -390.8 -166.1
1.24 -29.31 -9.77 39.08 127 97.7 166.1 263.8 87.93 322.4 39.08 -107.5 224.7 566.7 -58.62 312.7 400.6 39.08 107.5 361.5 -9.77
1.245 -342 -459.2 -351.7 -175.9 -302.9 -136.8 -68.39 -234.5 -87.93 -342 -469 -127 175.9 -117.2 -87.93 -58.62 -332.2 -273.6 19.54 29.31
1.25 117.2 9.77 244.3 185.6 312.7 293.1 635.1 342 625.3 332.2 156.3 146.6 674.2 87.93 615.5 547.1 254 263.8 879.3 146.6
1.255 -39.08 -214.9 -87.93 -156.3 -146.6 9.77 273.6 48.85 195.4 -9.77 -283.3 -146.6 175.9 146.6 185.6 234.5 -107.5 -97.7 508.1 87.93
1.26 254 302.9 439.7 263.8 381 439.7 723 713.2 742.6 664.4 185.6 439.7 420.1 351.7 635.1 801.2 361.5 361.5 1163 136.8
1.265 -9.77 -136.8 214.9 -166.1 19.54 68.39 234.5 400.6 214.9 332.2 -214.9 -195.4 224.7 78.16 39.08 517.8 -68.39 -97.7 615.5 87.93
1.27 273.6 283.3 586.2 127 351.7 224.7 517.8 566.7 449.4 547.1 214.9 439.7 488.5 78.16 390.8 469 224.7 214.9 869.6 146.6
1.275 -254 -293.1 97.7 -293.1 -166.1 -283.3 -107.5 97.7 -342 68.39 -332.2 -136.8 29.31 -244.3 -254 29.31 -293.1 -302.9 117.2 9.77
1.28 0 0 400.6 -136.8 97.7 -214.9 127 87.93 -68.39 205.2 -19.54 185.6 322.4 -166.1 29.31 107.5 -97.7 -136.8 293.1 107.5
1.285 -420.1 -449.4 -58.62 -351.7 -312.7 -556.9 -459.2 -322.4 -703.5 -302.9 -527.6 9.77 68.39 -293.1 -547.6 -224.7 -537.4 -527.6 -361.5 9.77
1.29 29.31 -9.77 351.7 -39.08 58.62 -224.7 -58.62 39.08 -224.7 205.2 -19.54 566.7 244.3 29.31 -39.08 312.7 -205.2 9.77 48.85 -107.5
1.295 -58.62 -302.9 244.3 -302.9 -117.2 -459.2 -273.6 -342 -664.4 -263.8 -312.7 302.9 175.9 -97.7 -214.9 -78.16 -351.7 -342 -410.4 -19.54
1.3 322.4 68.39 732.8 -9.77 351.7 -117.2 273.6 29.31 -58.62 156.3 175.9 605.8 498.3 195.4 400.6 293.1 87.93 87.93 78.16 78.16
1.305 19.54 -234.5 342 -400.6 -146.6 -566.7 -263.8 -517.8 -703.5 -508.1 -302.9 68.39 29.31 -244.3 -185.6 -68.39 -214.9 -400.6 -683.9 117.2
1.31 332.2 224.7 762.1 87.93 322.4 -87.93 146.6 -156.3 -185.6 -185.6 146.6 449.4 429.9 -19.54 244.3 146.6 312.7 68.39 -302.9 127
1.315 -97.7 -19.54 214.9 -68.39 -273.6 -351.7 -420.1 -527.6 -771.9 -732.8 -381 234.5 -342 -302.9 -390.8 -185.6 -117.2 -273.6 -1104 -117.2
1.32 97.7 371.3 556.9 273.6 195.4 29.31 9.77 -185.6 -214.9 -312.7 117.2 449.4 273.6 -175.9 87.93 117.2 273.6 117.2 -625.3 -87.93
1.325 -322.4 156.3 87.93 39.08 -263.8 -175.9 -449.4 -410.4 -713.2 -674.6 -371.3 29.31 -234.5 -371.3 -449.4 -332.2 -224.7 -234.5 -1163 -205.2
1.33 0 371.3 381 351.7 136.8 166.1 0 0 -127 -107.5 29.31 390.8 293.1 9.77 58.62 87.93 -29.31 166.1 -615.5 -273.6
1.335 -293.1 87.93 0 39.08 -166.1 -97.7 -400.6 -166.1 -625.3 -381 -293.1 -29.31 -263.8 -195.4 -449.4 -293.1 -488.5 -78.16 -1064 -400.6
1.34 214.9 439.7 381 361.5 410.4 224.7 166.1 224.7 117.2 205.2 195.4 332.2 263.8 117.2 185.6 9.77 -39.08 244.3 -312.7 -244.3
1.345 -205.2 -78.16 -175.9 87.93 -9.77 -127 -146.6 48.85 -254 -78.16 -361.5 19.54 68.39 -195.4 -195.4 -156.3 -420.1 -68.39 -644.8 -273.6
1.35 39.08 381 97.7 498.3 381 195.4 371.3 439.7 371.3 547.1 58.62 449.4 332.2 205.2 400.6 527.6 39.08 283.3 39.08 -214.9
