    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
0.71 7.91 7.506 14.61 12.81 5.618 6.292 10.38 13.75 6.62 6.112 6.62 -1.462 -1.118 -0.809 2.876 -0.08989
0.715 2.427 2.697 10.7 8.944 2.562 0.6292 3.955 8.629 3.568 5.303 4.127 -2.751 -1.032 -1.258 3.865 0
0.72 -3.146 -2.787 6.247 5.393 1.438 -1.843 -0.8539 3.775 1.548 5.753 4.213 0.9458 1.376 -0.08989 7.101 2.517
0.725 -5.393 -4.854 3.596 3.775 2.292 -0.04494 -0.764 2.607 1.376 6.742 6.706 7.91 5.331 2.337 10.97 6.382
0.73 -3.146 -1.348 3.82 4.719 4.135 4.584 4.494 5.528 2.923 7.461 10.06 14.7 9.372 5.124 13.39 9.888
0.735 1.438 4.404 6.202 7.506 5.528 9.438 12.13 9.393 5.417 7.73 12.47 18.06 11.87 7.281 13.12 11.51
0.74 5.034 7.955 8.854 10.29 5.753 11.96 17.71 11.46 7.351 7.461 12.9 16.68 11.87 8.09 10.61 10.79
0.745 5.753 8.225 9.573 10.74 4.989 11.19 18.02 11.33 7.437 7.191 11.52 11.69 9.544 7.371 7.101 8.36
0.75 3.955 6.067 7.191 7.73 4.27 8.225 13.08 9.034 5.159 7.011 9.458 5.503 6.362 5.753 4.045 5.753
0.755 1.438 2.022 2.472 2.292 4.27 5.079 5.708 4.584 1.333 6.742 7.308 0.3439 3.869 4.404 2.337 4.494
0.76 0.1798 -2.247 -1.978 -2.787 4.764 2.921 -0.6292 -0.3596 -2.321 5.573 5.159 -2.493 2.579 3.596 1.708 4.404
0.765 0.8989 -3.865 -3.73 -5.213 4.629 1.393 -4.27 -2.921 -4.342 3.236 2.235 -3.181 2.149 3.416 1.528 4.854
0.77 2.157 -2.427 -2.517 -4.315 2.831 -0.6742 -5.483 -2.337 -4.041 0 -1.548 -2.493 2.149 3.506 1.348 5.124
0.775 1.079 -1.753 -0.3596 -1.708 -0.4494 -3.91 -5.618 -0.4045 -1.935 -2.966 -5.331 -1.204 2.407 3.775 0.8989 5.303
0.78 -2.876 -4.494 0.5843 0.5393 -4.27 -7.506 -5.213 1.528 0.5159 -5.034 -7.652 0 2.751 4.045 0.4494 5.573
0.785 -7.281 -8.315 0.1798 1.528 -7.011 -9.708 -4.09 4 2.149 -5.663 -7.91 0.7738 2.751 3.506 0.1798 6.022
0.79 -9.079 -9.528 -0.3146 1.843 -7.461 -9.079 -1.663 6.562 2.364 -4.944 -6.191 0.5159 1.978 2.157 0.1798 6.022
0.795 -7.281 -8.135 0.04494 2.292 -5.303 -5.753 1.213 7.146 1.505 -3.326 -3.611 -0.9458 0.4299 0.2697 0.08989 5.393
0.8 -3.416 -6.022 1.258 2.652 -1.573 -1.573 2.742 4.674 0 -1.258 -1.634 -3.525 -1.634 -1.438 -0.1798 4.045
0.805 0 -4.045 1.798 1.753 1.933 0.809 0.809 0.4494 -1.978 0.2697 -1.204 -6.448 -3.525 -2.337 -0.809 2.697
0.81 1.258 -2.876 0.08989 -1.124 3.685 0.1798 -4.135 -3.955 -4.17 0.7191 -2.407 -8.77 -4.557 -2.337 -1.798 2.067
0.815 0.08989 -3.775 -3.371 -4.899 3.281 -2.831 -9.213 -7.64 -6.019 -0.1798 -4.471 -9.888 -4.471 -1.618 -3.236 1.888
0.82 -2.067 -5.933 -6.157 -6.921 1.213 -6.247 -10.79 -8.764 -6.491 -2.157 -6.706 -9.888 -4.041 -1.169 -4.944 0.809
0.825 -3.056 -5.618 -5.708 -5.483 -1.303 -8 -7.371 -5.708 -5.288 -4.315 -8.168 -9.2 -4.213 -1.798 -6.562 -2.157
0.83 -2.067 -1.213 -2.247 -1.438 -3.146 -7.191 -0.809 -0.4045 -2.837 -5.393 -7.996 -7.91 -5.245 -3.326 -7.551 -6.472
0.835 -0.809 3.73 1.303 1.978 -3.64 -4.135 5.079 2.517 -0.7308 -4.404 -5.761 -5.847 -6.019 -4.494 -7.011 -9.438
