    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2 
0.34 -0.6292 -1.483 0.6742 -1.888 2.067 0.1798 8.449 3.056 -3.611 4.135 0.4299 -2.493 -2.607 -4.404 -2.157
0.345 1.258 2.022 4.36 0.08989 4.09 3.011 11.91 6.157 -1.419 3.416 1.376 -0.6019 -3.056 -3.775 -2.876
0.35 3.146 4.854 7.416 2.472 4.854 4.629 12.22 7.326 0.5589 0.6292 0.9458 0.3439 -4.674 -4.404 -4.674
0.355 4.315 6.067 9.618 5.034 4.629 4.854 10.16 7.506 2.536 -2.157 0.08598 0.6878 -6.382 -4.764 -5.573
0.36 4.854 6.067 11.1 7.73 4.27 4.315 7.326 7.506 4.729 -2.517 0.2579 1.118 -6.921 -3.146 -4.225
0.365 4.854 5.798 11.64 9.933 4.719 4.18 5.034 7.326 6.663 0 2.493 1.634 -6.022 0.809 -1.528
0.37 5.034 5.888 10.56 10.7 6.157 5.258 3.73 6.472 7.48 3.506 6.191 2.064 -4.584 5.663 0.5393
0.375 5.213 6.292 8.045 9.933 7.685 7.326 4.045 5.438 6.964 5.573 9.372 2.579 -3.236 9.169 1.348
0.38 4.854 6.427 5.663 8.315 8.225 9.303 6.292 5.213 5.417 5.034 10.75 3.353 -2.157 9.888 1.258
0.385 4.135 5.978 4.674 6.382 7.596 10.02 9.169 5.528 3.31 2.876 9.544 4.127 -1.798 8 0.9888
0.39 3.506 4.899 5.124 4.315 6.247 8.899 10.56 5.438 1.118 0.5393 6.706 4.471 -1.708 5.034 1.258
0.395 2.876 3.685 6.337 2.562 4.36 5.978 9.483 4.584 -0.3869 -0.809 3.181 4.729 -0.8989 2.427 2.697
0.4 1.888 2.652 7.461 1.573 1.798 2.157 6.831 3.64 -0.7308 -1.798 -0.08598 5.761 0.9888 0.8989 4.764
0.405 0.1798 1.663 7.326 1.258 -1.079 -1.124 4.36 3.191 -0.129 -2.966 -2.493 7.222 3.506 0 6.112
0.41 -1.978 0.3596 5.213 0.6292 -3.416 -2.787 3.191 3.101 0.3869 -4.225 -3.611 8.168 5.303 -0.6292 6.292
0.415 -3.955 -1.124 1.708 -0.6742 -4.449 -2.562 3.506 2.966 0.3869 -4.764 -3.267 8.168 6.112 -0.9888 6.022
0.42 -5.124 -2.202 -1.483 -2.247 -3.82 -1.258 4.36 2.337 -0.08598 -3.685 -1.978 6.792 5.843 -0.8989 5.933
0.425 -5.124 -2.022 -3.011 -3.191 -2.067 0 3.955 0.4944 -1.075 -1.528 -0.5159 3.783 4.404 -0.4494 5.034
0.43 -3.955 -0.8539 -2.831 -2.966 -0.1798 0.4045 1.483 -2.562 -2.321 0.2697 0.2579 -0.6019 1.888 -0.4494 2.247
0.435 -2.427 0.3146 -1.438 -1.573 0.5843 -0.3146 -1.753 -5.483 -3.31 0.3596 -0.08598 -5.073 -0.7191 -1.169 -2.067
0.44 -1.438 0.4045 0.2247 0.4494 0 -1.798 -3.64 -6.652 -3.482 -1.169 -1.376 -7.738 -2.607 -2.697 -6.382
0.445 -1.348 -0.764 0.8989 1.933 -1.169 -3.146 -3.416 -6.157 -2.88 -3.236 -2.579 -8.426 -3.775 -4.674 -9.258
0.45 -1.888 -2.517 -0.2697 1.798 -1.888 -3.685 -2.337 -5.348 -1.935 -4.404 -3.181 -7.996 -4.584 -6.112 -10.16
0.455 -2.697 -3.551 -2.831 0.3596 -2.022 -3.371 -1.753 -4.899 -0.7308 -4.315 -3.181 -7.136 -5.124 -6.652 -8.989
0.46 -3.596 -3.236 -4.944 -0.764 -2.157 -2.697 -1.888 -4.404 0.9458 -3.416 -2.923 -6.191 -5.213 -6.022 -6.562
0.465 -4.404 -2.022 -5.573 -0.9888 -2.517 -1.978 -2.697 -3.775 2.88 -2.517 -2.751 -5.331 -4.674 -4.854 -4.494
0.47 -4.674 -1.034 -5.303 -0.6292 -2.787 -1.303 -3.91 -3.236 4.428 -1.978 -2.321 -4.385 -3.326 -3.236 -2.966
0.475 -4.045 -0.8539 -5.079 -0.4045 -2.292 -0.5393 -4.899 -2.742 5.503 -1.348 -1.032 -2.407 -0.9888 -1.079 -0.9888
0.48 -2.966 -0.9888 -4.989 -0.2697 -0.9888 0.3146 -4.809 -1.798 6.319 0.08989 1.634 0.7738 1.798 2.067 2.427
0.485 -1.888 -0.6742 -4.315 0.2697 0.764 1.483 -3.236 -0.08989 7.05 2.607 5.159 4.299 3.685 5.933 6.292
0.49 -0.809 0.2247 -2.472 1.528 2.157 2.697 -0.4494 2.112 7.48 5.213 8.168 6.534 3.506 9.258 8.629
0.495 0.1798 1.258 0.8539 3.596 2.427 3.281 3.011 4.674 7.652 6.652 8.942 7.05 1.708 10.43 8.809
