    T[sec] F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
0.43 10.88 10.11 9.978 8.135 11.87 14.11 13.71 8.574 -1.079 3.781 14.77 12.31 3.236 1.348 17.35
0.435 4.674 3.955 4.809 6.067 6.742 4.674 7.596 7.958 1.034 5.804 16.27 12.13 3.685 8.899 20.94
0.44 -0.1798 0.1798 2.292 6.517 5.483 0.2697 4.809 8.134 5.708 10.99 19.87 14.42 7.011 16.27 25.44
0.445 -1.438 1.124 3.281 6.876 6.966 2.607 6.562 9.101 8.315 14.6 23.21 17.94 11.87 20.4 29.03
0.45 0.9888 5.663 4.989 4.539 7.685 8.629 10.61 9.321 3.551 11.96 22.16 19.26 15.01 18.07 27.78
0.455 4.045 9.843 4.045 -0.6742 5.169 12.04 12.18 7.079 -8.045 2.374 14.25 15.39 13.75 8.36 19.51
0.46 4.764 9.933 0.5393 -5.798 0.04494 9.213 8.539 2.022 -19.55 -9.497 1.671 6.683 8.09 -4.674 6.382
0.465 2.067 5.528 -2.831 -7.73 -4.719 0.5843 0.6292 -3.737 -22.52 -16.88 -10.11 -3.517 0.5393 -14.92 -6.472
0.47 -2.247 -1.258 -4.539 -6.742 -8.045 -9.528 -8 -8.222 -14.79 -16.8 -17.23 -11.78 -5.933 -19.24 -14.92
0.475 -5.933 -7.73 -4.764 -6.157 -11.24 -16.76 -14.11 -10.38 -2.921 -12.57 -19.87 -16.09 -9.708 -18.61 -18.07
0.48 -7.73 -11.1 -4 -8.09 -15.19 -18.92 -16.09 -10.07 4.315 -9.585 -20.4 -16.44 -10.25 -16.45 -17.26
0.485 -7.551 -10.16 -2.921 -10.38 -18.29 -16.31 -13.98 -8.178 3.236 -10.11 -20.58 -13.81 -7.91 -15.01 -14.65
0.49 -6.831 -5.798 -1.618 -9.528 -17.75 -10.83 -9.573 -5.584 -3.146 -11.7 -20.05 -9.585 -3.685 -14.65 -11.6
0.495 -6.742 -0.9888 -0.08989 -4.674 -12.54 -5.213 -4.764 -2.99 -8.18 -10.11 -17.59 -5.452 0.4494 -13.84 -8.809
0.5 -6.921 1.978 2.022 1.618 -4.404 -1.079 -0.764 0 -7.191 -4.045 -12.57 -2.462 2.337 -10.97 -7.011
0.505 -5.393 2.562 3.865 5.933 3.416 1.213 1.483 3.825 -0.8989 4.221 -5.892 -1.847 1.079 -6.382 -6.921
0.51 -0.9888 0.4944 3.236 6.472 8.404 1.438 1.573 6.947 5.753 10.38 -0.4397 -4.133 -3.146 -2.876 -9.169
0.515 4.045 -3.281 -0.6292 4.18 9.169 0.3146 -0.8539 8.002 8.09 11.43 1.407 -8.09 -8.18 -2.157 -12.31
0.52 5.213 -6.337 -5.124 1.213 7.146 -0.7191 -4.27 6.727 5.888 8.178 0.3517 -10.82 -10.79 -2.697 -12.13
0.525 0.3596 -6.157 -6.427 -0.764 3.955 0.2697 -5.708 4.089 1.978 3.957 -0.7914 -9.321 -8.719 -0.8989 -5.393
0.53 -8.18 -2.787 -3.955 -2.876 0.4944 3.461 -3.64 1.055 -1.034 1.671 0.1759 -3.429 -3.506 5.034 7.011
0.535 -15.28 1.079 -0.5393 -6.472 -3.64 6.607 0.3146 -2.11 -3.326 1.407 2.726 3.517 0.7191 13.75 19.87
0.54 -16.27 2.966 0.9888 -10.61 -7.596 7.326 3.596 -5.32 -5.124 1.407 5.54 8.178 1.169 21.75 27.51
0.545 -9.978 2.337 0.2247 -11.96 -8.989 5.169 4.674 -7.782 -5.573 1.055 7.738 8.969 -1.618 25.98 27.6
0.55 -0.08989 0.6742 -1.393 -8.539 -6.472 2.112 4.27 -8.002 -4.045 0.8793 9.145 7.65 -4.045 24.63 22.02
0.555 7.551 -0.4045 -1.393 -2.517 -1.663 0.764 4.135 -4.968 -0.6742 1.583 9.849 7.298 -2.517 18.79 15.37
0.56 8.989 0.1348 1.663 2.247 2.787 2.247 6.517 1.143 3.146 3.078 10.64 10.02 3.506 11.42 11.15
0.565 5.843 2.067 6.337 3.596 5.303 5.663 10.7 7.87 5.843 4.748 11.52 14.25 10.97 4.854 8.989
0.57 2.876 3.865 8.584 2.472 6.157 8 13.84 10.95 5.933 5.54 11.26 15.83 14.74 -0.6292 5.213
0.575 3.596 4.27 6.022 1.079 5.933 6.876 12.85 8.046 3.371 4.397 8.178 11.61 11.6 -6.292 -3.236
0.58 7.461 3.461 0.764 1.034 5.573 2.292 7.416 1.627 -0.5393 1.231 2.902 2.638 3.506 -11.6 -14.74
0.585 11.6 3.146 -2.921 2.427 5.258 -2.921 0.1798 -3.737 -3.461 -2.11 -2.198 -6.507 -3.775 -14.47 -24.36
0.59 13.21 2.876 -3.596 4.27 4.674 -6.652 -5.708 -4.529 -4.225 -3.693 -4.924 -11.26 -5.933 -13.03 -27.33
0.595 11.24 0.764 -2.921 5.258 3.506 -8.404 -9.303 -1.935 -2.562 -2.814 -5.012 -10.55 -2.966 -7.551 -22.92
0.6 7.011 -3.865 -3.685 5.393 2.202 -9.303 -11.37 0.6155 1.034 -0.4397 -3.517 -7.123 1.438 -0.4494 -14.29
0.605 2.607 -8.989 -6.337 5.348 0.8539 -10.07 -12.63 0.3517 5.888 1.671 -2.374 -4.485 3.506 4.854 -5.843
0.61 -1.079 -11.46 -9.483 3.685 -1.438 -10.11 -12.99 -2.946 9.843 2.286 -2.902 -4.66 1.888 6.022 -0.809
0.615 -4.764 -10.2 -11.1 -0.9438 -5.258 -8.899 -11.82 -6.463 10.65 1.055 -5.188 -6.419 -1.438 3.506 1.618
0.62 -8.629 -5.933 -9.079 -7.101 -9.258 -5.348 -8.404 -7.123 8.764 -0.3517 -6.683 -6.683 -3.416 0.8989 4.315
0.625 -10.79 -0.5393 -3.685 -9.483 -9.124 0.4045 -3.281 -4.089 6.787 0.4397 -5.452 -3.605 -2.787 1.258 9.169
0.63 -8.36 3.865 2.292 -4.27 -2.742 7.326 2.247 0 6.742 3.957 -1.759 1.671 -0.9888 4.854 14.74
0.635 -1.438 6.382 5.888 5.933 6.517 13.03 6.472 2.418 7.64 7.386 1.407 5.979 -0.809 8.449 18.16
0.64 5.753 7.685 6.517 13.71 11.82 15.51 8.809 2.682 6.607 6.859 1.671 7.386 -2.607 8.809 17.44
0.645 8.36 8.539 5.753 11.96 8.674 13.62 9.393 2.77 1.708 1.231 -0.7035 6.067 -4.584 5.393 13.39
0.65 3.865 8.404 4.135 0.809 -1.573 7.955 8.27 3.341 -6.202 -6.947 -3.693 3.429 -4.315 -0.2697 8.09
0.655 -4.944 6.067 1.618 -12.36 -12.09 0.1798 5.348 3.561 -13.53 -13.45 -5.012 0.9673 -1.618 -6.292 3.685
0.66 -12.04 2.517 -0.2697 -17.98 -15.46 -6.337 1.393 2.242 -16.76 -15.56 -3.693 -0.3517 1.978 -10.79 1.079
0.665 -11.96 0.8539 0.04494 -12 -9.348 -8.629 -1.438 0 -15.24 -13.37 -0.5276 -0.3517 4.674 -13.39 -0.4494
0.67 -4.045 2.157 2.472 -0.1348 0.9888 -6.112 -1.888 -1.187 -12.27 -9.761 2.462 0.8793 5.933 -14.56 -1.978
0.675 6.022 5.079 4.809 7.326 7.506 -1.663 -0.2247 -0.04397 -11.73 -7.474 3.781 2.638 6.022 -14.65 -4.045
0.68 11.78 6.427 5.169 5.124 6.472 0.809 1.258 3.078 -13.57 -6.507 4.133 3.781 5.753 -12.67 -6.562
0.685 10.52 4.629 3.461 -2.831 1.438 0.2247 1.169 6.067 -13.84 -4.836 4.748 3.341 4.854 -8.27 -8.809
0.69 4.674 0.2697 0.8539 -8.27 -1.393 -2.067 -0.4045 6.155 -9.663 -1.055 5.628 0.9673 2.787 -2.966 -10.43
0.695 -1.888 -4.854 -1.483 -6.202 0.04494 -2.787 -2.247 3.078 -2.382 3.693 4.924 -2.55 -0.2697 0.7191 -10.79
0.7 -6.652 -8.494 -2.157 1.079 3.82 -0.809 -2.472 -0.1759 4.225 6.771 2.11 -4.924 -2.427 2.247 -8.989
0.705 -8.539 -10.07 -1.618 8.404 6.607 2.697 -1.079 -1.231 7.73 7.562 -1.319 -4.485 -1.618 2.876 -5.213
0.71 -7.191 -10.65 -2.427 11.87 7.326 4 -0.3146 -0.6595 8.629 7.562 -3.166 -2.99 0.9888 4.494 -1.798
0.715 -2.067 -11.78 -6.562 12.13 7.326 0.4045 -3.011 -2.374 9.663 8.354 -2.374 -3.869 1.888 7.461 -1.978
0.72 5.933 -12.99 -12.18 11.87 7.91 -7.64 -9.753 -8.574 12.36 9.585 -0.3517 -9.145 -1.888 10.7 -6.921
0.725 14.2 -12.54 -15.82 11.96 8.315 -15.82 -17.26 -17.63 15.37 9.057 0.4397 -16.71 -9.258 12.13 -13.57
0.73 17.44 -10.65 -15.87 9.708 5.169 -19.96 -21.39 -24.89 14.74 4.924 -2.11 -21.63 -15.64 10.34 -17.26
0.735 11.06 -8.809 -13.44 2.112 -3.416 -18.52 -20.09 -25.72 8.27 -2.55 -7.738 -19.96 -16.45 5.573 -14.11
0.74 -3.955 -7.685 -9.753 -9.483 -14.47 -12.72 -14.02 -19.08 -1.124 -10.02 -13.72 -11.78 -11.06 0.6292 -4.854
0.745 -20.04 -6.022 -4.944 -18.34 -21.08 -5.169 -5.708 -7.826 -7.64 -13.1 -16.62 -1.759 -3.416 -1.798 5.124
0.75 -28.13 -2.427 0.3596 -18.47 -18.97 2.067 1.933 2.55 -7.326 -10.46 -15.65 4.748 1.079 -1.348 9.978
0.755 -24.45 2.921 5.258 -10.65 -10.02 7.551 6.831 8.266 -2.247 -4.66 -12.49 5.452 0.2697 0.3596 7.461
0.76 -12.85 7.91 8.719 -0.7191 -0.4944 10.34 8.809 9.189 3.236 0.08793 -8.793 3.254 -2.697 1.708 1.169
0.765 -0.8989 10.56 10.11 5.843 5.169 11.19 9.169 7.87 5.618 2.198 -4.66 2.814 -3.056 2.247 -3.056
0.77 7.011 10.11 8.944 7.596 6.966 10.7 9.124 6.331 4.719 2.55 0.6155 5.804 0.3596 1.528 -2.876
0.775 10.97 7.865 6.337 6.742 7.506 9.843 8.854 5.32 2.247 3.078 6.507 9.321 3.775 -0.3596 -0.7191
0.78 14.02 6.517 4.629 6.607 9.258 9.034 8.719 4.397 0.9438 4.221 11.78 9.321 2.966 -2.697 -0.3596
0.785 17.98 7.506 5.618 7.506 11.91 8.449 8.449 4.221 0.8989 5.364 14.77 5.364 -2.157 -4.135 -3.236
0.79 21.03 8.944 7.685 7.281 12.54 7.775 7.685 4.704 0.8539 5.54 14.86 0.5276 -7.011 -4.135 -6.921
0.795 19.42 7.685 7.775 4.09 9.303 6.517 6.112 5.364 -0.764 4.573 12.66 -0.7914 -6.562 -3.326 -7.191
0.8 11.96 3.056 5.393 -0.4494 4.135 5.034 4.315 5.848 -3.281 3.605 10.38 2.902 0.4494 -1.978 -2.157
0.805 2.067 -2.157 2.472 -1.933 1.483 4.899 3.685 5.452 -4.135 4.309 9.673 8.793 9.618 -0.3596 5.753
0.81 -5.213 -4.629 0.6742 1.663 3.461 6.472 4.27 3.473 -2.382 6.771 10.02 12.13 14.38 0.809 11.69
0.815 -7.551 -3.955 0.4944 7.416 7.326 8.584 5.303 0.2638 0.8539 8.881 9.321 10.29 12.22 1.438 12.85
0.82 -7.191 -1.169 1.798 9.843 8.27 8.944 5.708 -1.671 3.82 8.53 6.507 5.979 6.831 2.337 11.33
0.825 -6.921 1.843 4.449 6.067 4.36 7.236 5.528 -0.1319 5.438 5.364 2.55 3.693 4.854 4.225 11.06
0.83 -7.73 4.045 7.281 -1.933 -3.056 4.404 5.573 4.968 5.124 0.9673 -1.055 5.54 8.899 6.382 13.48
0.835 -8.899 4.494 8.899 -10.07 -10.43 1.708 6.112 10.82 2.742 -3.166 -3.957 9.057 15.64 7.191 16.18
0.84 -9.618 3.146 8.045 -14.43 -15.01 -0.7191 5.888 13.94 -0.8539 -6.155 -6.243 9.849 18.97 6.202 15.82
0.845 -9.798 0.6292 4.404 -14.16 -15.91 -3.191 3.64 11.65 -3.91 -7.474 -8.09 6.067 15.46 4.045 11.42
0.85 -10.16 -3.146 -1.213 -11.15 -14.29 -6.382 -0.8989 4.309 -4.944 -7.123 -9.233 -0.1759 7.101 1.978 5.483
0.855 -10.61 -6.831 -7.011 -7.775 -12 -9.618 -5.978 -4.089 -3.955 -5.54 -8.793 -4.66 -0.6292 0.7191 1.618
0.86 -9.438 -8 -8.674 -4.944 -9.169 -10.29 -7.596 -8.266 -1.843 -3.517 -5.452 -4.309 -3.955 0.7191 1.798
0.865 -3.955 -4.18 -4.225 -1.393 -4.225 -6.517 -3.371 -4.836 -0.04494 -1.495 0.2638 -0.08793 -3.326 1.528 3.685
0.87 6.022 3.011 3.775 2.831 2.652 0.764 4.809 3.429 -0.1798 -0.1759 5.892 3.429 -2.876 0.9888 2.697
0.875 16.45 8.944 9.483 5.933 8.539 6.697 10.92 10.51 -2.831 -0.5276 8.09 2.55 -5.753 -2.607 -4.135
0.88 21.84 9.708 8.944 5.663 10.47 6.607 9.888 11.43 -6.517 -2.902 5.54 -2.55 -10.97 -8.989 -14.29
0.885 19.78 5.303 3.101 2.292 7.685 -0.3146 1.708 6.155 -8.764 -6.067 0.4397 -7.914 -14.2 -15.73 -22.47
0.89 12.94 -0.9438 -4.09 -2.112 2.067 -10.25 -8.449 -1.011 -8.854 -8.442 -4.309 -10.11 -12.67 -20.58 -24.63
0.895 6.562 -5.483 -8.854 -5.573 -3.596 -17.26 -14.16 -5.364 -7.775 -9.497 -6.683 -8.442 -7.371 -22.47 -21.03
0.9 3.865 -5.618 -9.079 -6.427 -6.607 -17.53 -12.45 -4.485 -6.831 -9.497 -6.771 -4.924 -2.247 -21.48 -14.56
0.905 4.944 -1.888 -4.854 -4.494 -5.798 -11.28 -5.303 -0.3517 -5.753 -8.53 -5.54 -2.022 -0.1798 -18.88 -8.36
0.91 6.472 2.742 0.3596 -1.303 -2.337 -2.607 1.888 2.418 -4.315 -6.683 -4.397 -0.7914 -0.8989 -16.09 -3.685
0.915 5.124 4.539 2.966 0.4045 0.6292 3.685 4.494 1.187 -2.697 -4.309 -3.341 -0.2638 -1.169 -13.57 0.2697
0.92 0.3596 2.292 1.933 0.04494 1.124 5.213 2.112 -3.078 -1.258 -1.495 -1.583 1.143 1.618 -9.978 5.213
0.925 -4.404 -2.247 -1.618 -0.6292 -0.1348 3.326 -2.382 -6.463 0.5843 2.198 1.935 4.045 7.73 -3.416 10.97
0.93 -5.213 -6.921 -6.382 0.809 -0.809 0.764 -5.528 -6.815 3.146 6.947 6.419 7.123 14.02 6.292 16
0.935 -1.438 -10.2 -10.65 4.944 0.6292 -0.5843 -6.292 -4.924 6.697 11.78 10.11 8.178 16.45 16.72 18.79
0.94 3.416 -11.15 -12.18 9.888 3.596 -0.4045 -5.303 -2.242 10.7 15.3 11.43 7.211 14.2 25.17 19.78
