    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
0.52 -13.06 18 -13.06 11.96 -23 9.941 -31.06 3.963 -11.05 7.992 -13.06 21.96 -21.05 25.99 3.963 3.963
0.525 -9.031 21.96 -3.054 24.95 -8.057 21.96 -21.05 11.96 -9.031 11.96 -8.057 23.98 -11.05 33.98 8.966 5.978
0.53 0.9746 27.94 0 36.97 1.949 29.95 -7.017 13.97 -3.054 11.96 1.949 15.98 -2.014 37.94 20.99 9.941
0.535 4.938 27.94 5.978 45.94 9.941 29.95 0 9.941 1.949 7.992 9.941 3.963 15.98 29.95 36 9.941
0.54 12.99 23.98 12.99 43.99 15.98 19.95 10.98 1.949 14.94 1.949 22.94 0 26.96 13.97 54.97 7.992
0.545 14.94 18 20.99 33.98 18.97 5.978 16.96 -3.054 22.94 0 24.95 -2.014 32.94 0.9746 64.97 3.963
0.55 18.97 11.96 23.98 21.96 23.98 -2.014 18 -7.017 27.94 1.949 21.96 0.9746 31.97 -3.054 65.95 1.949
0.555 22.94 9.941 26.96 18.97 28.98 -2.014 16.96 0 28.98 9.941 19.95 6.952 30.99 0.9746 64.97 6.952
0.56 26.96 13.97 31.97 19.95 26.96 8.966 14.94 4.938 24.95 15.98 21.96 14.94 33.98 14.94 61.98 12.99
0.565 32.94 18 29.95 15.98 19.95 18 7.992 13.97 18 19.95 25.99 19.95 36 21.96 55.94 19.95
0.57 34.96 19.95 29.95 14.94 6.952 20.99 0 18.97 9.941 19.95 30.99 21.96 41.97 24.95 51.98 20.99
0.575 26.96 18.97 22.94 0 -7.017 12.99 -9.031 14.94 -1.04 15.98 26.96 23.98 34.96 10.98 44.96 18.97
0.58 20.99 13.97 7.992 -9.031 -23 -2.014 -21.05 3.963 -11.05 7.992 11.96 25.99 23.98 0.9746 31.97 9.941
0.585 16.96 12.99 -2.014 -17.02 -27.03 -10.01 -24.04 -5.003 -22.03 -2.014 -2.014 22.94 9.941 -11.05 18 1.949
0.59 10.98 14.94 -3.054 -17.02 -22.03 -11.05 -25.01 -15.01 -27.03 -5.003 -15.01 13.97 1.949 -8.057 8.966 0.9746
0.595 12.99 18 -1.04 -5.003 -5.003 -9.031 -13.06 -19.04 -29.04 -9.031 -15.01 5.978 5.978 -2.014 1.949 0.9746
0.6 12.99 18 4.938 2.989 10.98 -1.04 -2.014 -14.03 -22.03 -10.01 -4.028 0.9746 15.98 13.97 2.989 -1.04
0.605 14.94 18 16.96 14.94 25.99 -1.04 0 -4.028 -13.06 -6.043 4.938 5.978 25.99 19.95 6.952 0
0.61 14.94 14.94 26.96 15.98 31.97 0.9746 1.949 -1.04 -5.003 -4.028 12.99 23.98 33.98 19.95 8.966 0.9746
0.615 14.94 9.941 30.99 14.94 21.96 4.938 -1.04 6.952 0.9746 -2.014 14.94 37.94 33.98 15.98 8.966 0
0.62 16.96 7.992 32.94 12.99 8.966 9.941 -12.02 12.99 0 -1.04 12.99 44.96 25.99 11.96 6.952 4.938
0.625 18.97 7.992 33.98 11.96 -1.04 13.97 -21.05 19.95 -5.003 1.949 9.941 39.96 15.98 13.97 1.949 7.992
0.63 22.94 8.966 33.98 13.97 -4.028 23.98 -25.01 19.95 -13.06 3.963 9.941 27.94 7.992 18.97 0 18
0.635 26.96 4.938 27.94 18 -3.054 22.94 -22.03 18 -20.01 1.949 10.98 16.96 1.949 19.95 -5.003 21.96
0.64 20.99 0 19.95 15.98 -1.04 13.97 -19.04 5.978 -27.03 -2.014 7.992 7.992 -2.014 13.97 -5.003 18
0.645 18.97 -1.04 10.98 15.98 1.949 6.952 -7.017 1.949 -29.04 -1.04 6.952 9.941 -1.04 6.952 1.949 12.99
0.65 18.97 3.963 11.96 14.94 14.94 -1.04 1.949 -8.057 -19.04 -1.04 6.952 15.98 7.992 -1.04 9.941 6.952
0.655 22.94 11.96 18 11.96 25.99 0 5.978 -9.031 -9.031 0 11.96 19.95 19.95 1.949 25.99 3.963
0.66 28.98 19.95 31.97 15.98 32.94 12.99 12.99 -1.04 0 9.941 19.95 24.95 29.95 14.94 33.98 8.966
0.665 32.94 21.96 38.98 12.99 36.97 23.98 10.98 14.94 0.9746 15.98 21.96 24.95 28.98 24.95 30.99 10.98
0.67 28.98 18 33.98 7.992 25.99 33.98 1.949 23.98 -2.014 18 9.941 23.98 13.97 27.94 15.98 11.96
0.675 18.97 15.98 20.99 5.978 2.989 31.97 -12.02 21.96 -10.01 11.96 -2.014 22.94 0 20.99 0 9.941
0.68 10.98 18 4.938 9.941 -19.04 18 -30.02 9.941 -18.06 5.978 -22.03 20.99 -24.04 7.992 -16.05 7.992
0.685 6.952 23.98 -1.04 11.96 -43.01 1.949 -41.06 -3.054 -27.03 1.949 -35.02 18 -33.01 0.9746 -29.04 3.963
0.69 8.966 31.97 0.9746 18.97 -49.05 -5.003 -39.05 -15.01 -27.03 1.949 -32.03 18 -33.01 -3.054 -26.05 5.978
0.695 14.94 31.97 7.992 18.97 -40.02 -5.003 -31.06 -19.04 -23 5.978 -28 18 -25.01 -2.014 -23 9.941
0.7 16.96 23.98 18 15.98 -23 0.9746 -19.04 -11.05 -23 7.992 -21.05 15.98 -21.05 5.978 -21.05 15.98
0.705 12.99 9.941 32.94 12.99 -1.04 7.992 -9.031 0.9746 -19.04 11.96 -17.02 15.98 -14.03 15.98 -21.05 19.95
0.71 6.952 0 44.96 14.94 18 18 0.9746 11.96 -11.05 15.98 -13.06 18 -4.028 23.98 -15.01 21.96
0.715 4.938 -2.014 51.98 23.98 31.97 27.94 9.941 25.99 3.963 23.98 -5.003 25.99 0 29.95 0.9746 21.96
0.72 8.966 9.941 64.97 41.97 44.96 39.96 27.94 36 31.97 29.95 5.978 36 16.96 36 18 21.96
0.725 18.97 25.99 73.94 57.96 48.99 47.95 45.94 39.96 55.94 31.97 21.96 43.99 29.95 41.97 39.96 21.96
0.73 30.99 39.96 79.98 64 43.99 53.99 51.98 36 65.95 27.94 33.98 45.94 37.94 43.99 47.95 23.98
0.735 38.98 45.94 73.94 57.96 27.94 49.96 43.99 23.98 55.94 21.96 29.95 41.97 29.95 39.96 39.96 23.98
0.74 38.98 41.97 61.98 43.99 5.978 37.94 21.96 9.941 31.97 13.97 13.97 33.98 13.97 29.95 15.98 21.96
0.745 30.99 33.98 43.99 29.95 -8.057 19.95 0 -2.014 3.963 9.941 -3.054 21.96 -2.014 18 -5.003 18
0.75 18.97 23.98 25.99 19.95 -11.05 5.978 -11.05 -1.04 -13.06 9.941 -23 9.941 -7.017 7.992 -25.01 11.96
0.755 2.989 9.941 9.941 15.98 -2.014 0 -11.05 -2.014 -19.04 11.96 -33.01 1.949 -9.031 1.949 -29.04 9.941
0.76 -11.05 0.9746 -1.04 13.97 10.98 1.949 0.9746 5.978 -15.01 11.96 -33.01 -2.014 -5.003 0 -25.01 9.941
