    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
0.46 8.965 2.968 10.96 14.96 0.9692 9.995 13.99 16.96 17.99 0.9692 19.99 17.99 23.99 15.99 18.96 20.96
0.465 10.96 -1.03 8.965 14.96 3.998 17.99 17.99 22.96 17.99 9.995 31.98 29.99 37.98 23.99 34.95 36.95
0.47 10.96 1.999 3.998 9.995 9.995 19.99 17.99 23.99 19.99 21.99 39.98 39.98 45.98 27.99 45.98 45.98
0.475 4.967 -1.03 1.999 11.99 13.99 18.96 18.96 24.96 20.96 30.95 40.95 42.95 47.98 29.99 46.95 48.95
0.48 0.9692 -4.059 -2.06 9.995 11.99 12.96 12.96 20.96 16.96 28.96 34.95 37.98 41.98 28.96 41.98 38.95
0.485 0.9692 -5.028 -2.06 3.998 7.996 3.998 1.999 13.99 9.995 13.99 21.99 23.99 29.99 19.99 21.99 23.99
0.49 2.968 -5.028 -1.03 2.968 0.9692 0.9692 0.9692 4.967 1.999 0.9692 12.96 9.995 15.99 10.96 11.99 10.96
0.495 2.968 -5.028 1.999 1.999 1.999 0.9692 -5.028 1.999 1.999 -2.06 6.966 4.967 8.965 2.968 1.999 4.967
0.5 4.967 -6.058 -1.03 -5.028 -2.06 0 -11.02 -5.028 -5.028 0.9692 9.995 1.999 3.998 -1.03 3.998 3.998
0.505 6.966 -5.028 -5.028 -8.057 4.967 4.967 -12.05 -4.059 -2.06 8.965 23.99 9.995 6.966 0 12.96 11.99
0.51 8.965 -2.06 -10.06 -11.02 10.96 8.965 -10.06 -2.06 -4.059 24.96 27.99 15.99 4.967 -2.06 20.96 13.99
0.515 8.965 0.9692 -11.02 -17.02 11.99 7.996 -9.026 -3.029 -9.026 29.99 21.99 11.99 0 -5.028 15.99 5.997
0.52 4.967 0 -11.02 -20.05 9.995 3.998 -10.06 -3.029 -16.05 29.99 8.965 5.997 -4.059 -13.02 9.995 -5.028
0.525 0.9692 -6.058 -11.02 -24.05 5.997 -1.03 -16.05 -9.026 -24.05 17.99 -2.06 -1.03 -18.05 -23.02 -3.029 -20.05
0.53 0.9692 -10.06 -11.02 -25.02 5.997 -13.02 -23.02 -15.02 -27.02 3.998 -17.02 -17.02 -31.02 -35.01 -17.02 -37.01
0.535 0.9692 -11.02 -3.029 -21.02 4.967 -21.02 -26.05 -15.02 -27.02 -5.028 -25.02 -27.02 -35.01 -39.01 -24.05 -44.04
0.54 -1.03 -10.06 -3.029 -19.02 0 -24.05 -24.05 -15.02 -18.05 -18.05 -33.01 -37.01 -39.01 -39.01 -31.02 -44.04
0.545 -3.029 -9.026 -2.06 -13.02 -15.02 -25.02 -23.02 -13.02 -13.02 -33.01 -37.01 -41.01 -39.01 -33.01 -37.01 -41.01
0.55 -1.03 -4.059 3.998 -5.028 -31.02 -22.05 -15.02 -7.027 -8.057 -38.04 -35.01 -38.04 -35.01 -24.05 -32.04 -31.02
