    T[sec]  O1  O2  P3  P4  C3  C4  F3  F4 Fp2 Fp1  T5  T6  T3  T4  F7  F8
0.78 -9.026 -1.019 -7.061 -1.019 -7.061 -7.061 -3.057 -9.026 -19.07 -19.07 -13.03 1.965 -3.057 -2.038 -7.061 -3.057
0.785 -9.026 -3.057 -8.007 0.9463 -4.003 -2.038 -1.019 -5.022 -14.05 -14.05 -14.05 7.934 -2.038 3.931 -2.038 0
0.79 -3.057 -5.022 -2.038 0.9463 1.965 0 0.9463 -2.038 -8.007 -6.042 -6.042 15.94 3.931 7.934 0.9463 1.965
0.795 -1.019 0.9463 0 7.934 5.969 1.965 3.931 0 -1.019 -2.038 -2.038 17.98 11.94 15.94 9.972 7.934
0.8 2.984 4.95 7.934 17.98 14.99 10.99 10.99 11.94 2.984 9.972 9.972 20.96 17.98 22.93 15.94 13.98
0.805 2.984 10.99 10.99 21.98 19.94 19 17.98 19.94 9.972 11.94 9.972 20.96 20.96 26.93 15.94 17.98
0.81 0.9463 11.94 11.94 23.95 19.94 21.98 17.98 23.95 5.969 11.94 5.969 17.98 15.94 25.99 13.98 15.94
0.815 -1.019 12.96 10.99 19.94 15.94 21.98 19 23.95 0 6.988 4.95 11.94 9.972 20.96 10.99 12.96
0.82 6.988 13.98 11.94 16.96 13.98 12.96 17.98 14.99 -1.019 -1.019 8.953 4.95 7.934 13.98 9.972 5.969
0.825 22.93 13.98 17.98 11.94 11.94 5.969 11.94 7.934 -2.038 -2.038 17.98 0 9.972 7.934 7.934 0
0.83 40.98 20.96 26.93 12.96 14.99 5.969 12.96 8.953 3.931 2.984 30.94 1.965 19 3.931 13.98 0
0.835 46.95 20.96 27.95 11.94 17.98 9.972 12.96 11.94 6.988 6.988 36.98 1.965 19 2.984 12.96 -2.038
0.84 40.98 17.98 23.95 7.934 9.972 9.972 7.934 9.972 3.931 3.931 29.99 1.965 13.98 -2.038 5.969 -1.019
0.845 26.93 10.99 11.94 2.984 2.984 5.969 1.965 6.988 0.9463 -2.038 15.94 0.9463 3.931 -3.057 0.9463 -4.003
0.85 6.988 0 -1.019 1.965 -1.019 -1.019 -1.019 3.931 -2.038 -1.019 -1.019 -1.019 -1.019 -4.003 -3.057 -7.061
0.855 -1.019 -1.019 -14.05 -2.038 -10.04 -6.042 -5.022 -2.038 -4.003 -3.057 -6.042 1.965 -4.003 -4.003 -4.003 -8.007
0.86 -3.057 0.9463 -19.07 0 -7.061 -10.04 -3.057 0 -1.019 0 -6.042 6.988 0.9463 1.965 -1.019 -3.057
0.865 2.984 2.984 -11.06 2.984 -2.038 -5.022 1.965 2.984 7.934 9.972 -1.019 16.96 5.969 3.931 2.984 0.9463
0.87 0.9463 5.969 -5.022 11.94 0 1.965 7.934 9.972 17.98 19.94 0 25.99 11.94 13.98 11.94 5.969
0.875 0.9463 6.988 -1.019 15.94 7.934 13.98 14.99 17.98 20.96 20.96 4.95 27.95 14.99 20.96 16.96 9.972
0.88 -3.057 2.984 0 12.96 6.988 17.98 12.96 16.96 17.98 14.99 0.9463 25.99 8.953 19.94 15.94 7.934
0.885 -11.06 -1.019 -5.022 5.969 5.969 13.98 11.94 11.94 9.972 7.934 0.9463 21.98 3.931 19.94 9.972 5.969
0.89 -11.06 -1.019 -3.057 4.95 5.969 10.99 11.94 12.96 6.988 10.99 0.9463 22.93 3.931 21.98 9.972 7.934
0.895 -9.026 1.965 -1.019 5.969 9.972 13.98 14.99 21.98 9.972 19 6.988 21.98 9.972 24.97 12.96 12.96
